"wage","educ","exper","tenure","female","married"
2,9,2,0,0,0
4.78999996185303,12,41,8,0,1
5.78000020980835,16,11,4,0,1
3.1800000667572,12,5,0,1,1
4.67999982833862,16,3,1,1,0
4.09999990463257,12,3,2,1,0
2.91000008583069,12,4,0,0,1
6,13,21,13,0,1
3.59999990463257,10,34,26,1,1
3.95000004768372,6,49,6,0,1
7,12,6,5,0,1
3,12,26,9,1,1
6.07999992370605,16,9,0,0,0
8.63000011444092,12,23,9,0,1
3,8,33,2,0,1
3.75,12,5,2,1,1
2.90000009536743,6,49,7,0,1
3,4,48,0,0,1
6.25,11,35,31,0,1
3.5,11,23,2,1,0
3,7,26,1,1,0
3.24000000953674,12,16,0,1,1
8.02000045776367,18,23,3,1,1
3.32999992370605,12,36,8,1,1
5.25,16,4,0,0,0
6.25,12,10,0,0,1
3.5,14,18,2,0,1
2.95000004768372,12,3,1,0,0
3,10,7,0,1,1
4.69000005722046,10,7,7,0,0
3.73000001907349,9,33,2,1,0
4,10,34,12,0,1
4,12,8,0,1,1
2.90000009536743,12,17,1,1,1
3.04999995231628,12,2,0,1,0
5.05000019073486,10,5,0,1,0
13.9499998092651,16,41,16,0,1
18.1599998474121,16,35,28,0,1
6.25,16,11,4,0,0
5.25,12,4,0,0,0
4.78999996185303,12,12,3,1,1
3.34999990463257,7,35,0,1,0
3,8,33,0,0,1
8.43000030517578,16,8,6,0,1
5.69999980926514,16,2,0,0,0
11.9799995422363,18,8,10,0,1
3.5,13,29,1,1,1
4.23999977111816,10,14,5,0,1
7,16,26,3,1,1
6,14,11,3,1,1
12.2200002670288,16,10,2,0,0
4.5,12,13,0,0,1
3,9,23,20,1,1
2.90000009536743,11,1,2,0,0
15,11,35,31,0,1
4,12,5,2,0,1
5.25,11,13,11,0,1
4,12,22,3,0,1
3.29999995231628,12,21,9,1,1
5.05000019073486,12,19,0,1,1
3.57999992370605,12,13,0,0,0
5,14,15,5,0,1
4.57000017166138,14,3,0,0,1
12.5,18,6,2,0,0
3.45000004768372,12,6,5,1,1
4.63000011444092,12,16,1,1,0
10,12,31,2,0,1
2.92000007629395,11,1,0,1,0
4.51000022888184,12,5,2,0,0
6.5,17,3,0,0,1
7.5,16,11,0,0,1
3.53999996185303,13,6,7,1,1
4.19999980926514,13,11,3,1,1
3.50999999046326,12,7,2,1,1
4.5,14,5,0,0,1
3.34999990463257,14,5,4,1,1
2.91000008583069,11,2,2,0,0
5.25,10,44,7,0,1
4.05000019073486,8,44,25,0,1
3.75,14,13,0,1,1
3.40000009536743,12,26,15,1,1
3,10,2,1,1,0
6.28999996185303,17,10,3,0,1
2.53999996185303,9,2,0,1,0
4.5,12,35,0,1,1
3.13000011444092,12,6,5,1,1
6.3600001335144,14,8,1,0,1
4.67999982833862,16,1,0,0,0
6.80000019073486,12,14,10,0,1
8.52999973297119,10,14,6,0,1
4.17000007629395,0,22,10,1,0
3.75,14,8,4,1,1
11.1000003814697,15,1,4,1,0
3.25999999046326,16,15,5,1,1
9.13000011444092,12,14,12,0,1
4.5,11,37,10,0,1
3,11,1,1,1,0
8.75,12,4,4,0,1
4.1399998664856,13,29,0,1,1
2.86999988555908,12,45,8,1,1
3.34999990463257,13,22,0,1,0
6.07999992370605,16,42,10,0,0
3,15,9,0,0,0
4.19999980926514,16,8,0,1,1
5.59999990463257,15,31,15,1,0
10,12,24,24,0,1
12.5,18,16,5,0,1
3.75999999046326,6,6,0,0,0
3.09999990463257,6,14,0,1,0
4.28999996185303,12,47,25,1,1
10.9200000762939,12,34,5,0,1
7.5,16,6,2,1,1
4.05000019073486,9,7,4,1,1
4.65000009536743,12,27,2,0,1
5,11,24,5,0,1
2.90000009536743,10,18,0,1,1
8,12,12,3,1,0
8.43000030517578,8,27,3,0,1
2.92000007629395,9,49,0,1,0
6.25,17,4,0,1,0
6.25,16,24,2,1,1
5.1100001335144,11,3,0,0,0
4,10,2,0,1,0
4.44000005722046,8,29,11,0,1
6.88000011444092,13,34,21,0,1
5.42999982833862,14,10,3,0,1
3,13,5,0,1,0
2.90000009536743,11,2,0,1,0
6.25,7,39,21,0,1
4.34000015258789,16,5,2,1,0
3.25,12,14,2,1,1
7.26000022888184,13,8,2,0,0
6.34999990463257,14,10,1,1,1
5.63000011444092,16,2,2,0,1
8.75,14,9,3,0,1
3.20000004768372,11,1,0,0,0
3,8,45,1,1,1
3,14,33,3,1,1
12.5,17,21,18,0,1
2.88000011444092,10,2,0,1,0
3.34999990463257,12,9,1,0,1
6.5,12,33,2,0,1
10.3800001144409,18,16,2,0,1
4.5,14,10,0,0,1
10,18,9,8,0,0
3.80999994277954,12,8,1,1,1
8.80000019073486,16,9,1,0,1
9.42000007629395,14,23,0,1,1
6.32999992370605,12,23,8,0,1
4,9,22,18,0,0
2.90000009536743,12,37,0,1,1
20,12,22,4,0,1
11.25,17,28,25,0,1
3.5,12,14,0,1,0
6,15,19,4,1,1
14.3800001144409,17,10,9,0,1
6.3600001335144,16,25,0,0,1
3.54999995231628,12,21,0,1,1
3,15,32,0,0,1
4.5,16,21,10,0,1
6.63000011444092,12,36,0,1,0
9.30000019073486,15,2,2,0,1
3,12,11,0,1,1
3.25,12,40,2,1,0
1.5,12,11,1,1,1
5.90000009536743,12,9,7,1,1
8,16,23,4,0,0
2.90000009536743,11,1,0,1,0
3.28999996185303,14,30,13,0,0
6.5,14,41,33,0,1
4,13,6,0,1,0
6,14,11,0,0,1
4.07999992370605,12,43,17,1,1
3.75,12,39,2,1,1
3.04999995231628,8,50,24,1,0
3.5,12,26,20,1,1
2.92000007629395,3,51,30,0,0
4.5,11,3,9,0,0
3.34999990463257,15,3,1,1,1
5.94999980926514,11,15,9,0,1
8,12,17,6,0,1
3,4,36,0,0,1
5,9,31,9,0,1
5.5,12,9,4,0,1
2.65000009536743,12,42,10,1,1
3,11,3,0,1,0
4.5,12,37,14,1,1
17.5,16,23,22,0,1
8.18000030517578,13,21,5,0,0
9.09000015258789,15,11,12,0,1
11.8199996948242,16,35,13,0,1
3.25,12,42,0,1,1
4.5,12,3,0,0,0
4.5,12,13,0,0,1
3.71000003814697,9,14,7,0,1
6.5,10,14,11,0,1
2.90000009536743,12,39,1,1,1
5.59999990463257,11,11,8,0,1
2.23000001907349,8,28,3,0,1
5,6,18,0,1,1
8.32999992370605,16,6,2,0,1
2.90000009536743,12,26,1,1,0
6.25,12,21,6,0,1
4.55000019073486,16,34,2,0,1
3.27999997138977,12,17,2,1,0
2.29999995231628,10,2,0,1,0
3.29999995231628,13,5,0,1,0
3.15000009536743,13,1,0,1,0
12.5,14,40,30,0,1
5.15000009536743,16,39,21,1,0
3.13000011444092,10,1,1,0,0
7.25,12,14,5,0,1
2.90000009536743,12,2,2,1,0
1.75,11,2,1,0,0
2.89000010490417,0,42,0,1,1
2.90000009536743,5,34,0,1,1
17.7099990844727,16,10,3,0,1
6.25,16,4,3,0,1
2.59999990463257,9,4,0,0,0
6.63000011444092,15,21,3,1,1
3.5,12,31,3,1,0
6.5,12,20,14,0,1
3,12,36,1,1,0
4.38000011444092,13,7,0,0,1
10,12,15,0,0,0
4.94999980926514,7,25,17,0,1
9,17,7,0,1,1
1.42999994754791,12,17,0,1,1
3.07999992370605,12,3,1,0,0
9.32999992370605,14,12,11,0,1
7.5,12,18,5,0,1
4.75,13,47,1,0,1
5.65000009536743,12,2,0,0,0
15,16,14,2,1,1
2.26999998092651,10,2,0,1,0
4.67000007629395,15,13,18,0,1
11.5600004196167,16,5,1,0,1
3.5,14,5,4,1,0
